species,bibiOriginal,mkg,fkg,sdratio,sd20,sd15,sd10
Ourebia_ourebi,Ourebia_ourebi,14.1,15.1,-0.0684931506849315,monomorphic,monomorphic,monomorphic
Ovibos_moschatus,Ovibos_moschatus_FJ207536,356,247.3,0.36035140062986903,dimorphic,dimorphic,dimorphic
Ovis_aries,Ovis_aries_NC001941,67.9,44.9,0.4078014184397164,dimorphic,dimorphic,dimorphic
Pantholops_hodgsonii,Pantholops_hodgsonii_NC007441,42.3,25.8,0.48458149779735676,dimorphic,dimorphic,dimorphic
Pelea_capreolus,Pelea_capreolus,24,25,-0.04081632653061224,monomorphic,monomorphic,monomorphic
Philantomba_maxwelli,Philantomba_maxwelli,6.5,7.2,-0.10218978102189784,monomorphic,monomorphic,monomorphic
Philantomba_monticola,Philantomba_monticola_1,4.4,5.1,-0.14736842105263143,monomorphic,monomorphic,monomorphic
Procapra_gutturosa,Procapra_gutturosa,31.5,24,0.2702702702702703,dimorphic,dimorphic,dimorphic
Pseudois_nayaur,Pseudois_nayaur_FJ207537,60,39.5,0.4120603015075377,dimorphic,dimorphic,dimorphic
Pseudoryx_nghetinhensis,Pseudoryx_nghetinhensis,90,90,0,monomorphic,monomorphic,monomorphic
Raphicerus_campestris,Raphicerus_campestris,10.9,11.3,-0.036036036036036063,monomorphic,monomorphic,monomorphic
Redunca_arundinum,Redunca_arundinum,58.3,43.2,0.29753694581280776,dimorphic,dimorphic,dimorphic
Redunca_fulvorufula,Redunca_fulvorufula,30.1,28.5,0.05460750853242326,monomorphic,monomorphic,monomorphic
Rupicapra_pyrenaica,Rupicapra_pyrenaica_FJ207539,23.9,19.8,0.18764302059496557,monomorphic,dimorphic,dimorphic
Rupicapra_rupicapra,Rupicapra_rupicapra_FJ207538,40.3,31.7,0.23888888888888882,dimorphic,dimorphic,dimorphic
Saiga_tatarica,Saiga_tatarica,42.5,32.3,0.2727272727272728,dimorphic,dimorphic,dimorphic
Sylvicapra_grimmia,Sylvicapra_grimmia,18.3,19.6,-0.06860158311345649,monomorphic,monomorphic,monomorphic
Syncerus_caffer,Syncerus_caffer,642.9,467.5,0.315922190201729,dimorphic,dimorphic,dimorphic
Tetracerus_quadricornis,Tetracerus_quadricornis,18,17,0.05714285714285714,monomorphic,monomorphic,monomorphic
Tragelaphus_angasii,Tragelaphus_angasii,110.2,64.4,0.5246277205040091,dimorphic,dimorphic,dimorphic
Taurotragus_derbianus,Tragelaphus_derbianus,700,450,0.43478260869565216,dimorphic,dimorphic,dimorphic
Tragelaphus_eurycerus,Tragelaphus_eurycerus,322.5,222.5,0.3669724770642202,dimorphic,dimorphic,dimorphic
Tragelaphus_imberbis,Tragelaphus_imberbis,95.6,62.1,0.42485732403297394,dimorphic,dimorphic,dimorphic
Taurotragus_oryx,Tragelaphus_oryx,647.3,415.8,0.43551876587338906,dimorphic,dimorphic,dimorphic
Tragelaphus_scriptus,Tragelaphus_scriptus_1,49.7,31.1,0.46039603960396036,dimorphic,dimorphic,dimorphic
Tragelaphus_spekei,Tragelaphus_spekii,102.3,60.2,0.5181538461538461,dimorphic,dimorphic,dimorphic
Tragelaphus_strepsiceros,Tragelaphus_strepsiceros,240.8,159.2,0.40800000000000014,dimorphic,dimorphic,dimorphic
Tragulus_kanchil,Tragulus_kanchil,1.8,1.9,-0.05405405405405398,monomorphic,monomorphic,monomorphic
